	log_likelihood
749	290.29654
750	310.8449
751	293.8993
752	367.94562
753	304.03616
754	292.88495
755	316.31467
756	269.51404
757	353.9149
758	299.39047
759	331.01718
760	161.86769
761	329.2036
762	284.5403
763	312.3528
764	334.05167
765	261.4573
766	156.27536
767	272.69812
768	335.34247
769	315.96396
770	225.26505
771	256.00104
772	300.633
773	328.4653
774	333.21317
775	288.03293
776	286.10056
777	327.83255
778	296.69672
779	306.6948
780	278.44305
781	285.14676
782	286.42148
783	324.6303
784	294.51678
785	256.22336
786	282.07892
787	195.76596
788	310.60953
789	293.20407
790	330.72372
791	320.3915
792	304.64996
793	209.07048
794	307.92987
795	264.47983
796	309.1691
797	347.08862
798	272.90268
799	269.91562
800	241.67154
801	280.6365
802	332.8391
803	304.4325
804	292.1359
805	306.4053
806	247.7832
807	284.40228
808	331.6197
809	306.31372
810	322.02234
811	220.59998
812	347.3164
813	165.08382
814	350.85043
815	323.37848
816	338.6299
817	308.67462
818	323.88113
819	276.02936
820	270.29153
821	299.5913
822	292.78622
823	181.76126
824	296.05457
825	286.73584
826	227.59567
827	326.14594
828	315.19452
829	272.53238
830	280.57346
831	293.85165
832	302.98553
833	331.72833
834	307.92288
835	203.89372
836	306.61545
837	213.20976
838	321.20746
839	336.44183
840	303.30487
841	326.91425
842	329.773
843	311.54694
844	310.12897
845	321.02994
846	315.27094
847	295.8187
848	297.51633
849	286.39252
850	340.66202
851	295.08417
852	248.89116
853	345.6922
854	329.69742
855	338.69485
856	312.55313
857	322.18283
858	228.5159
859	189.29831
860	220.30692
861	295.3354
862	219.2572
863	323.882
864	311.16638
865	251.1656
866	289.85962
867	303.7818
868	241.13065
869	246.33496
870	335.39023
871	347.0725
872	224.06026
873	221.7753
874	228.56961
875	238.82617
876	333.46054
877	293.7414
878	361.20938
879	330.19794
880	170.33456
881	293.2464
882	304.37222
883	303.2791
884	300.25165
885	304.5779
886	307.62964
887	288.42163
888	244.57764
889	301.10303
890	329.58316
891	281.49106
892	280.69455
893	319.09457
894	304.57788
895	341.89734
896	290.57834
897	339.62012
898	282.93085
899	241.79065
900	295.26337
901	82.38312
902	255.57486
903	303.5163
904	356.4674
905	232.781
906	307.44885
907	292.05206
908	335.29813
909	334.71887
910	272.0971
911	269.48483
912	324.87775
913	315.77603
914	337.59833
915	281.32755
916	258.1535
917	275.33966
918	328.8558
919	293.66953
920	300.43726
921	305.88852
922	305.2008
923	225.7487
924	279.72885
925	206.19992
926	264.65753
927	298.37445
928	308.6927
929	334.02283
930	274.70346
931	330.0956
932	332.41217
933	325.46887
934	314.72794
935	225.1511
936	346.12863
937	307.25092
938	321.47638
939	298.1882
940	315.24963
941	308.31906
942	267.7468
943	300.59784
944	323.27203
945	306.40976
946	259.38672
947	275.45767
948	287.93164
949	321.386
950	306.6642
951	235.16487
952	237.20175
953	209.39731
954	322.83304
955	345.39166
956	336.46762
957	98.942245
958	155.99107
959	238.2189
960	187.70334
961	331.40738
962	293.41168
963	237.38925
964	304.75497
965	317.4759
966	280.50525
967	280.8895
968	293.7648
969	249.78299
970	275.2106
971	323.98996
972	317.14435
973	346.5429
974	237.38249
975	213.88242
976	292.567
977	285.71973
978	308.5818
979	310.83228
980	353.91797
981	232.51895
982	188.8062
983	272.97113
984	244.80093
985	283.16913
986	254.43823
987	300.8099
988	213.09492
989	316.99072
990	290.65634
991	279.52063
992	337.46973
993	277.04147
994	273.37543
995	244.95674
996	295.00656
997	340.36874
998	210.58875
999	279.46747
1000	374.0334
1001	367.20673
1002	348.9079
1003	368.0716
1004	330.16895
1005	373.38397
1006	382.59958
1007	388.51498
1008	364.07764
1009	320.26895
1010	281.9311
1011	91.2172
1012	327.0956
1013	314.1045
1014	289.8636
1015	321.16547
1016	243.12439
1017	346.71368
1018	326.98764
1019	313.93652
1020	363.08682
1021	350.0461
1022	362.70236
1023	339.15414
1024	370.11078
1025	269.48627
1026	357.7425
1027	332.82123
1028	368.96442
1029	300.5287
1030	364.26935
1031	353.90018
1032	370.2497
1033	379.80014
1034	340.73788
1035	307.85938
1036	79.175835
1037	323.49872
1038	153.66718
1039	327.46637
1040	358.00024
1041	371.44336
1042	335.6183
1043	331.102
1044	377.28485
1045	337.58295
1046	112.8813
1047	379.8465
1048	314.32172
1049	329.9347
1050	321.02798
1051	354.37372
1052	339.50372
1053	283.65884
1054	374.74677
1055	355.2585
1056	170.81163
1057	342.31158
1058	347.83524
1059	291.85114
1060	326.74457
1061	405.89975
1062	285.94098
1063	370.88666
1064	352.35132
1065	313.8972
1066	334.48993
1067	326.87506
1068	387.70782
1069	366.83252
1070	346.32755
1071	339.89047
1072	334.3128
1073	269.53912
1074	374.24603
1075	370.1162
1076	365.45206
1077	327.16602
1078	332.40625
1079	373.92444
1080	290.78033
1081	315.10175
1082	107.89079
1083	293.4825
1084	334.32843
1085	383.0678
1086	366.4006
1087	263.66895
1088	194.12964
1089	366.52856
1090	372.6565
1091	334.16977
1092	313.59317
1093	369.41757
1094	133.00517
1095	313.36493
1096	358.18463
1097	370.50653
1098	376.7291
1099	338.0098
1100	399.2711
1101	355.1051
1102	373.03687
1103	300.33902
1104	337.7765
1105	342.84897
1106	329.66864
1107	374.85483
1108	370.52933
1109	81.52383
1110	335.12604
1111	357.52313
1112	327.09598
1113	318.451
1114	298.68756
1115	390.78915
1116	323.51602
1117	341.17484
1118	384.84546
1119	96.08009
1120	343.82147
1121	322.82623
1122	348.00317
1123	363.4157
1124	342.2
1125	111.68752
1126	386.94052
1127	146.8335
1128	44.76044
1129	339.43643
1130	343.78113
1131	354.46527
1132	335.35605
1133	382.8605
1134	304.21558
1135	366.85464
1136	345.3934
1137	334.7132
1138	346.32053
1139	345.6957
1140	136.33023
1141	376.24774
1142	337.3155
1143	337.59604
1144	276.755
1145	340.55676
1146	275.7796
1147	351.81168
1148	377.30453
1149	365.97748
1150	236.14175
1151	295.64252
1152	371.06708
1153	320.20563
1154	346.21295
1155	366.39493
1156	288.15457
1157	346.83142
1158	304.79358
1159	375.5305
1160	348.86377
1161	382.2842
1162	361.54205
1163	3.0250227
1164	347.0335
1165	334.55862
1166	26.88656
1167	360.24222
1168	354.65247
1169	377.21674
1170	397.1542
1171	269.6162
1172	331.4776
1173	320.00082
1174	356.02246
1175	331.899
1176	364.42197
1177	35.017635
1178	325.20386
1179	352.39056
1180	331.57306
1181	392.01855
1182	304.1611
1183	367.67828
1184	389.25055
1185	366.54437
1186	335.54474
1187	372.57568
1188	321.54547
1189	344.80328
1190	161.97162
1191	353.51886
1192	365.04727
1193	327.11945
1194	350.34842
1195	375.2297
1196	322.22406
1197	319.46255
1198	306.08844
1199	304.21393
1200	375.77142
1201	326.49472
1202	158.73065
1203	352.74078
1204	292.77545
1205	377.2429
1206	270.45914
1207	377.6994
1208	364.04498
1209	284.1002
1210	317.0854
1211	327.82657
1212	334.567
1213	354.68863
1214	302.2207
1215	133.6445
1216	344.41718
1217	361.77213
1218	306.84088
1219	354.93393
1220	237.30508
1221	338.66583
1222	394.18262
1223	324.11108
1224	378.09793
1225	378.64288
1226	266.09735
1227	382.8244
1228	361.50137
1229	303.68204
1230	324.8089
1231	352.49786
1232	350.44675
1233	38.12107
1234	339.8176
1235	348.1086
1236	392.2256
1237	328.47415
1238	335.30545
1239	358.02417
1240	349.71475
1241	269.55658
1242	361.44775
1243	359.54956
1244	321.9989
1245	368.6923
1246	341.90826
1247	368.02066
1248	333.34476
1249	361.34845
1250	244.39987
1251	315.0583
1252	363.18582
1253	356.09283
1254	338.58347
1255	101.402145
1256	134.90031
1257	308.92996
1258	372.71683
1259	356.53397
1260	46.696205
1261	339.7435
1262	382.79428
1263	345.3293
1264	350.24078
1265	339.30518
1266	380.71283
1267	270.8753
1268	228.51843
1269	290.08667
1270	257.0142
1271	347.64142
1272	331.45786
1273	278.34894
1274	323.11725
1275	324.98315
1276	350.6068
1277	370.91904
1278	396.67114
1279	372.7711
1280	342.55646
1281	363.88324
1282	377.93402
1283	246.62398
1284	384.82587
1285	311.87787
1286	391.9007
1287	381.8173
1288	370.68097
1289	375.2566
1290	370.81934
1291	336.38995
1292	292.69443
1293	363.8541
1294	350.77838
1295	370.72934
1296	372.63666
1297	315.1985
1298	318.4104
1299	326.4645
1300	326.56192
1301	302.86368
1302	354.4168
1303	341.04678
1304	107.356895
1305	320.30746
1306	354.2985
1307	368.8749
1308	351.42563
1309	359.33554
1310	332.55362
1311	88.06067
1312	368.73932
1313	-18.757038
1314	331.4626
1315	363.13013
1316	322.77423
1317	336.7521
1318	354.1496
1319	379.98312
1320	214.23526
1321	263.9113
1322	313.31305
1323	25.507648
1324	285.05832
1325	310.71783
1326	348.3242
1327	333.91092
1328	360.1634
1329	331.2819
1330	407.7008
1331	301.5382
1332	368.71384
1333	389.99478
1334	198.1331
1335	96.05946
1336	301.04126
1337	367.61615
1338	242.13057
1339	325.52344
1340	370.1776
1341	331.16022
1342	349.19965
1343	306.04514
1344	373.8532
1345	331.14664
1346	352.83633
1347	374.737
1348	387.84036
1349	372.44006
1350	262.15292
1351	348.48547
1352	361.47418
1353	348.52682
1354	361.69925
1355	363.66672
1356	87.388275
1357	398.04794
1358	335.4115
1359	368.43164
1360	366.3181
1361	364.80408
1362	359.63983
1363	382.50613
1364	350.29868
1365	294.6381
1366	383.3421
1367	338.99542
1368	317.17758
1369	312.92715
1370	380.40814
1371	380.05804
1372	62.567505
1373	338.79962
1374	362.5388
1375	340.93085
1376	272.5658
1377	342.29166
1378	391.3808
1379	146.4239
1380	365.98364
1381	371.58234
1382	368.5825
1383	83.59182
1384	359.99673
1385	311.3414
1386	365.7948
1387	370.8858
1388	369.9249
1389	348.6165
1390	396.44794
1391	341.91766
1392	13.982233
1393	316.95825
1394	334.36783
1395	334.8252
1396	348.05582
1397	356.29227
1398	256.5008
1399	168.72061
1400	324.55713
1401	350.43475
1402	379.91058
1403	361.85712
1404	319.69794
1405	319.8622
1406	364.31174
1407	369.24432
1408	341.3884
1409	384.98553
1410	218.27164
1411	404.89813
1412	337.10522
1413	370.96906
1414	358.5601
1415	324.17227
1416	371.25574
1417	361.41852
1418	383.3056
1419	384.42508
1420	358.1276
1421	381.6535
1422	57.477287
1423	395.8519
1424	374.4755
1425	363.94574
1426	97.45872
1427	298.07324
1428	329.64655
1429	335.13486
1430	369.93945
1431	348.83945
1432	331.60327
1433	359.60004
1434	383.74478
1435	362.5543
1436	302.52167
1437	339.22275
1438	343.58722
1439	353.9689
1440	391.7304
1441	356.82245
1442	347.1735
1443	89.490944
1444	221.76242
1445	289.2873
1446	242.88359
1447	360.7004
1448	362.76382
1449	311.2581
1450	356.85977
1451	362.15115
1452	368.77682
1453	361.33826
1454	340.64233
1455	99.14364
